Datetime,Degrees,Magnetic Declination
2018-08-11 11:53:42,180.0,10.3
2018-08-11 11:53:43,106.3649,10.3
2018-08-11 11:53:44,109.4563,10.3
2018-08-11 11:53:45,116.8182,10.3
2018-08-11 11:53:46,206.3233,10.3
2018-08-11 11:53:47,53.5691,10.3
2018-08-11 11:53:48,63.7074,10.3
2018-08-11 11:53:49,57.926,10.3
2018-08-11 11:53:50,81.0572,10.3
2018-08-11 11:53:51,108.0478,10.3
2018-08-11 11:53:52,145.7965,10.3
2018-08-11 11:53:53,104.1646,10.3
2018-08-11 11:53:54,33.8887,10.3
2018-08-11 11:53:55,26.1779,10.3
2018-08-11 11:53:56,31.6697,10.3
2018-08-11 11:53:57,30.2564,10.3
2018-08-11 11:53:58,20.831999999999997,10.3
2018-08-11 11:53:59,65.439,10.3
2018-08-11 11:54:00,90.337,10.3
2018-08-11 11:54:01,97.9372,10.3
2018-08-11 11:54:02,119.26799999999999,10.3
2018-08-11 11:54:03,106.057,10.3
2018-08-11 11:54:04,105.0069,10.3
2018-08-11 11:54:05,103.7762,10.3
2018-08-11 11:54:06,102.9152,10.3
2018-08-11 11:54:07,101.6667,10.3
2018-08-11 11:54:08,101.8738,10.3
2018-08-11 11:54:09,101.6115,10.3
2018-08-11 11:54:10,101.928,10.3
2018-08-11 11:54:11,101.4422,10.3
2018-08-11 11:54:12,101.5946,10.3
2018-08-11 11:54:13,103.9659,10.3
2018-08-11 11:54:14,106.0657,10.3
2018-08-11 11:54:15,105.0576,10.3
2018-08-11 11:54:16,106.9142,10.3
2018-08-11 11:54:17,71.1468,10.3
2018-08-11 11:54:18,330.8941,10.3
2018-08-11 11:54:19,92.3818,10.3
2018-08-11 11:54:20,95.4961,10.3
2018-08-11 11:54:21,94.9356,10.3
2018-08-11 11:54:22,90.5989,10.3
2018-08-11 11:54:23,89.4104,10.3
2018-08-11 11:54:24,96.0872,10.3
2018-08-11 11:54:25,98.1717,10.3
2018-08-11 11:54:26,99.1655,10.3
2018-08-11 11:54:27,124.9309,10.3
2018-08-11 11:54:28,117.6158,10.3
2018-08-11 11:54:29,81.315,10.3
2018-08-11 11:54:30,70.3149,10.3
2018-08-11 11:54:31,74.3619,10.3
2018-08-11 11:54:32,94.3542,10.3
2018-08-11 11:54:33,99.8906,10.3
2018-08-11 11:54:34,100.7798,10.3
2018-08-11 11:54:35,93.9887,10.3
2018-08-11 11:54:36,88.3317,10.3
2018-08-11 11:54:37,79.0216,10.3
2018-08-11 11:54:38,95.2443,10.3
2018-08-11 11:54:39,80.3401,10.3
2018-08-11 11:54:40,83.1609,10.3
2018-08-11 11:54:41,101.9316,10.3
2018-08-11 11:54:42,104.3891,10.3
2018-08-11 11:54:43,118.0353,10.3
2018-08-11 11:54:44,108.7649,10.3
2018-08-11 11:54:45,90.9392,10.3
2018-08-11 11:54:46,92.1719,10.3
2018-08-11 11:54:47,93.7046,10.3
2018-08-11 11:54:48,101.3337,10.3
2018-08-11 11:54:49,110.2506,10.3
2018-08-11 11:54:50,89.9113,10.3
2018-08-11 11:54:51,86.4799,10.3
2018-08-11 11:54:52,96.9618,10.3
2018-08-11 11:54:53,112.2804,10.3
2018-08-11 11:54:54,119.4049,10.3
2018-08-11 11:54:55,130.952,10.3
2018-08-11 11:54:56,106.9591,10.3
2018-08-11 11:54:57,105.7765,10.3
2018-08-11 11:54:58,107.3652,10.3
2018-08-11 11:54:59,94.5959,10.3
2018-08-11 11:55:00,96.9891,10.3
2018-08-11 11:55:01,110.5169,10.3
2018-08-11 11:55:02,121.7681,10.3
2018-08-11 11:55:03,127.8837,10.3
2018-08-11 11:55:04,127.6245,10.3
2018-08-11 11:55:05,110.8297,10.3
2018-08-11 11:55:06,104.1702,10.3
2018-08-11 11:55:01,125.67399999999999,10.3
2018-08-11 11:55:02,88.9488,10.3
2018-08-11 11:55:03,90.8232,10.3
2018-08-11 11:55:04,76.0752,10.3
2018-08-11 11:55:05,72.9874,10.3
2018-08-11 11:55:06,70.7291,10.3
2018-08-11 11:55:07,73.1699,10.3
2018-08-11 11:55:08,72.9874,10.3
2018-08-11 11:55:09,68.5523,10.3
2018-08-11 11:55:10,66.6148,10.3
2018-08-11 11:55:12,81.6472,10.3
2018-08-11 11:55:13,79.5967,10.3
2018-08-11 11:55:14,79.4353,10.3
2018-08-11 11:55:15,76.4035,10.3
2018-08-11 11:55:16,83.7301,10.3
2018-08-11 11:55:17,83.0997,10.3
2018-08-11 11:55:18,82.8188,10.3
2018-08-11 11:55:19,82.9422,10.3
2018-08-11 11:55:20,83.0317,10.3
2018-08-11 11:55:21,82.9087,10.3
2018-08-11 11:55:22,82.7173,10.3
2018-08-11 11:55:23,82.9199,10.3
2018-08-11 11:55:24,81.172,10.3
2018-08-11 11:55:25,81.6027,10.3
2018-08-11 11:55:26,81.9331,10.3
2018-08-11 11:55:27,82.0215,10.3
2018-08-11 11:55:28,81.6158,10.3
2018-08-11 11:55:29,81.5796,10.3
2018-08-11 11:55:30,81.6419,10.3
2018-08-11 11:55:31,81.7936,10.3
2018-08-11 11:55:33,81.6158,10.3
2018-08-11 11:55:34,81.3494,10.3
2018-08-11 11:55:35,81.3514,10.3
2018-08-11 11:55:36,76.5803,10.3
2018-08-11 11:55:37,76.9613,10.3
2018-08-11 11:55:38,76.8724,10.3
2018-08-11 11:55:39,76.8724,10.3
2018-08-11 11:55:40,77.0491,10.3
2018-08-11 11:55:41,76.4361,10.3
2018-08-11 11:55:42,76.5348,10.3
2018-08-11 11:55:43,76.5803,10.3
2018-08-11 11:55:44,76.6805,10.3
2018-08-11 11:55:45,76.6805,10.3
2018-08-11 11:55:46,76.6805,10.3
2018-08-11 11:55:47,76.2977,10.3
2018-08-11 11:55:48,81.5836,10.3
2018-08-11 11:55:49,81.7681,10.3
2018-08-11 11:55:50,82.1515,10.3
2018-08-11 11:55:51,82.2094,10.3
2018-08-11 11:55:52,82.2475,10.3
2018-08-11 11:55:53,82.1275,10.3
2018-08-11 11:55:54,81.9888,10.3
2018-08-11 11:55:55,81.9692,10.3
2018-08-11 11:55:56,82.2475,10.3
2018-08-11 11:55:57,82.4606,10.3
2018-08-11 11:55:58,82.4238,10.3
2018-08-11 11:55:59,82.5806,10.3
2018-08-11 11:56:00,82.2285,10.3
2018-08-11 11:56:01,82.2852,10.3
2018-08-11 11:56:02,81.9692,10.3
2018-08-11 11:56:03,82.2664,10.3
2018-08-11 11:56:04,82.2475,10.3
2018-08-11 11:56:05,81.9495,10.3
2018-08-11 11:56:06,81.8302,10.3
2018-08-11 11:56:07,81.8302,10.3
2018-08-11 11:56:08,82.089,10.3
2018-08-11 11:56:09,81.9298,10.3
2018-08-11 11:56:10,81.8102,10.3
2018-08-11 11:56:11,81.671,10.3
2018-08-11 11:56:12,81.7901,10.3
2018-08-11 11:56:13,81.9298,10.3
2018-08-11 11:56:14,81.9298,10.3
2018-08-11 11:56:15,81.8102,10.3
2018-08-11 11:56:16,81.8102,10.3
2018-08-11 11:56:17,81.8102,10.3
2018-08-11 11:56:18,81.9692,10.3
2018-08-11 11:56:19,81.5111,10.3
2018-08-11 11:56:20,81.9099,10.3
2018-08-11 11:56:21,81.8102,10.3
2018-08-11 11:56:22,81.8102,10.3
2018-08-11 11:56:23,81.7901,10.3
2018-08-11 11:56:24,81.4967,10.3
2018-08-11 11:56:25,81.6543,10.3
2018-08-11 11:56:26,81.6744,10.3
2018-08-11 11:56:27,81.8112,10.3
2018-08-11 11:56:28,81.6543,10.3
2018-08-11 11:56:29,81.8112,10.3
2018-08-11 11:56:30,81.6543,10.3
2018-08-11 11:56:31,81.6341,10.3
2018-08-11 11:56:32,81.4967,10.3
2018-08-11 11:56:33,81.6744,10.3
2018-08-11 11:56:34,81.5172,10.3
2018-08-11 11:56:35,81.3802,10.3
2018-08-11 11:56:36,82.8052,10.3
2018-08-11 11:56:37,82.1709,10.3
2018-08-11 11:56:38,81.3505,10.3
2018-08-11 11:56:39,80.6764,10.3
2018-08-11 11:56:40,83.4235,10.3
2018-08-11 11:56:41,82.4437,10.3
2018-08-11 11:56:42,80.8153,10.3
2018-08-11 11:56:43,80.9829,10.3
2018-08-11 11:56:44,78.0451,10.3
2018-08-11 11:56:45,77.5954,10.3
2018-08-11 11:56:46,77.487,10.3
2018-08-11 11:56:47,84.4035,10.3
2018-08-11 11:56:48,80.7853,10.3
2018-08-11 11:56:49,81.1913,10.3
2018-08-11 11:56:50,76.0531,10.3
2018-08-11 11:56:51,78.4888,10.3
2018-08-11 11:56:52,78.4888,10.3
2018-08-11 11:56:53,78.5744,10.3
2018-08-11 11:56:54,78.4595,10.3
2018-08-11 11:56:55,78.43,10.3
2018-08-11 11:56:56,78.6614,10.3
2018-08-11 11:56:57,78.5452,10.3
2018-08-11 11:56:58,78.5744,10.3
2018-08-11 11:56:59,78.7478,10.3
2018-08-11 11:57:00,78.6325,10.3
2018-08-11 11:57:01,78.7764,10.3
2018-08-11 11:57:02,78.4888,10.3
2018-08-11 11:57:03,78.5759,10.3
2018-08-11 11:57:04,68.4735,10.3
2018-08-11 11:57:05,69.7467,10.3
2018-08-11 11:57:06,70.6022,10.3
2018-08-11 11:57:07,74.707,10.3
2018-08-11 11:57:08,74.1128,10.3
2018-08-11 11:57:09,73.6813,10.3
2018-08-11 11:57:10,73.9092,10.3
2018-08-11 11:57:11,74.1706,10.3
2018-08-11 11:57:12,81.7841,10.3
2018-08-11 11:57:13,54.1179,10.3
2018-08-11 11:57:14,79.2756,10.3
2018-08-11 11:57:15,72.4866,10.3
2018-08-11 11:57:16,47.6425,10.3
2018-08-11 11:57:17,353.4537,10.3
2018-08-11 11:57:18,300.7247,10.3
2018-08-11 11:57:19,294.9957,10.3
2018-08-11 11:57:20,292.9058,10.3
2018-08-11 11:57:21,291.3262,10.3
2018-08-11 11:57:22,292.7297,10.3
2018-08-11 11:57:23,292.762,10.3
2018-08-11 11:57:24,296.565,10.3
2018-08-11 11:57:25,73.4858,10.3
2018-08-11 11:57:26,73.9797,10.3
2018-08-11 11:57:27,74.3577,10.3
2018-08-11 11:57:28,73.7509,10.3
2018-08-11 11:57:29,73.4858,10.3
2018-08-11 11:57:30,72.5451,10.3
2018-08-11 11:57:31,72.1907,10.3
2018-08-11 11:57:32,72.4602,10.3
2018-08-11 11:57:33,72.3745,10.3
2018-08-11 11:57:34,72.3745,10.3
2018-08-11 11:57:35,72.4602,10.3
2018-08-11 11:57:36,72.1907,10.3
2018-08-11 11:57:37,71.7424,10.3
2018-08-11 11:57:38,72.2768,10.3
2018-08-11 11:57:39,72.646,10.3
2018-08-11 11:57:40,72.7305,10.3
2018-08-11 11:57:41,71.922,10.3
2018-08-11 11:57:42,72.4464,10.3
2018-08-11 11:57:43,72.2768,10.3
2018-08-11 11:57:44,72.4464,10.3
2018-08-11 11:57:45,71.922,10.3
2018-08-11 11:57:46,71.3871,10.3
2018-08-11 11:57:47,71.6528,10.3
2018-08-11 11:57:48,71.2299,10.3
2018-08-11 11:57:49,71.301,10.3
2018-08-11 11:57:50,71.8299,10.3
2018-08-11 11:57:51,71.7424,10.3
2018-08-11 11:57:52,71.7424,10.3
2018-08-11 11:57:53,71.7397,10.3
2018-08-11 11:57:54,71.1277,10.3
2018-08-11 11:57:55,71.7397,10.3
2018-08-11 11:57:56,71.565,10.3
2018-08-11 11:57:57,71.9165,10.3
2018-08-11 11:57:58,71.3898,10.3
2018-08-11 11:57:59,71.1277,10.3
2018-08-11 11:58:00,71.565,10.3
2018-08-11 11:58:01,71.8259,10.3
2018-08-11 11:58:02,73.2497,10.3
2018-08-11 11:58:03,73.0163,10.3
2018-08-11 11:58:04,72.5014,10.3
